Date,Gold_Close,Oil_Close,Volume_Top2,Volume_Top3,Volume_Top4,Volume_Top5,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y
2020-03-12,1589.300049,31.5,0.1387924222528024,0.0222469162080871,0.4674576092777349,0.033027697427713,13544827.88,16552900000000.0,124250397.3,12.24166667,1.235116702,653156.0,2317.735099,349978.0,0.376633322,4970.7880859375
2020-03-13,1515.699951,31.72999954,0.1302521989316421,0.0241226833374078,0.4642460317831301,0.0347358671504182,8634486.982,16552900000000.0,102856289.2,14.21666667,1.296698272,517382.0,2214.384,276798.0,0.313409278,5563.70703125
2020-03-14,1515.699951,31.72999954,0.123605995884306,0.0224150459562685,0.4688586892948451,0.0343637118378195,8986521.226,16552900000000.0,105324840.1,13.76666667,1.274480383,413935.0,2186.15625,279828.0,0.768603489,5200.3662109375
2020-03-15,1515.699951,31.72999954,0.1326849772570559,0.0229275030430679,0.4584311682119532,0.0312964013697852,8103100.664,16552900000000.0,97919187.32,12.68333333,1.113644857,532450.0,1875.882353,223230.0,1.172461295,5392.31494140625
2020-03-16,1485.900024,28.70000076,0.1274739301731859,0.0211050070944867,0.4570942635573197,0.0325329204144794,7889846.941,16552900000000.0,97919187.32,12.95,1.193453008,540902.0,2272.260504,270399.0,0.431327193,5014.47998046875
2020-03-17,1524.900024,26.95000076,0.1213351474672721,1.8097044705591268e-06,0.0214262163346455,0.4695398063238885,8477516.575,16552900000000.0,101210588.6,14.275,1.231597098,476482.0,2262.813008,278326.0,0.545866077,5225.62939453125
2020-03-18,1477.300049,20.37000084,0.1158523493073893,0.0195911081687268,0.4570758015425299,0.0297562418396703,6941254.719,16552900000000.0,82285031.36,14.90833333,1.16499282,525607.0,2312.54,231254.0,0.638481691,5238.4384765625
2020-03-19,1478.599976,25.21999931,0.1177308206167793,0.01860036860282,0.4600778283979695,0.0373990963538794,7981376.242,16552900000000.0,88044983.55,12.51666667,1.306641869,564748.0,2483.074766,265689.0,0.663386235,6191.19287109375
2020-03-20,1484.0,22.43000031,0.1228695761380922,0.0190941722356458,0.4686528796766637,0.03657490750268,9446456.658,16552900000000.0,89690684.18,18.36666667,1.264478073,469859.0,2610.954128,284594.0,0.453721029,6198.7783203125
2020-03-21,1484.0,22.43000031,0.1189418920168973,0.0179758937639426,0.4575806532973419,0.0361408125538289,9873966.128,16552900000000.0,102033438.9,11.46666667,1.108333782,409829.0,1983.032258,245896.0,1.525234603,6185.06640625
