Date,Y_test,Y_XGRB
2022-12-07,16848.126953124996,
2022-12-08,17233.474609375,
2022-12-09,17133.15234375,
2022-12-10,17128.724609374996,
2022-12-11,17104.193359374996,
2022-12-12,17206.437499999993,
2022-12-13,17781.318359374996,
2022-12-14,17815.650390625,
2022-12-15,17364.865234374996,
2022-12-16,16647.484375,
2022-12-17,16795.091796875,
2022-12-18,16757.976562499996,
2022-12-19,16439.679687499996,
2022-12-20,16906.304687499996,
2022-12-21,16817.53515625,
2022-12-22,16830.341796874996,
2022-12-23,16796.953124999993,
2022-12-24,16847.755859374996,
2022-12-25,16841.986328125,
2022-12-26,16919.804687499996,
2022-12-27,16717.173828124996,
2022-12-28,16552.572265624993,
2022-12-29,16642.341796874996,
2022-12-30,16602.585937499996,
2022-12-31,16547.496093749996,
2023-01-01,16625.080078125,
2023-01-02,16688.470703124996,
2023-01-03,16679.857421875,
2023-01-04,16863.238281249993,
2023-01-05,16836.736328125,
2023-01-06,16951.968749999996,
2023-01-07,16955.078125,
2023-01-08,17091.144531249996,
2023-01-09,17196.5546875,
2023-01-10,17446.292968749996,
2023-01-11,17934.896484375,
2023-01-12,18869.587890624996,
2023-01-13,19909.574218749996,
2023-01-14,20976.298828125,
2023-01-15,20880.798828125,
2023-01-16,21169.632812499996,
2023-01-17,21161.51953125,
2023-01-18,20688.781249999996,
2023-01-19,21086.79296875,
2023-01-20,22676.552734374996,
2023-01-21,22777.625,
2023-01-22,22720.416015624996,
2023-01-23,22934.431640625,
2023-01-24,22636.46875,
2023-01-25,23117.859375,
2023-01-26,23032.77734375,
2023-01-27,23078.728515625,
2023-01-28,23031.089843749996,
2023-01-29,23774.56640625,
2023-01-30,22840.138671875,
2023-01-31,23139.283203124996,
2023-02-01,23723.769531249996,
2023-02-02,23471.87109375,
2023-02-03,23449.322265625,
2023-02-04,23331.84765625,
2023-02-05,22955.666015624996,
2023-02-06,22760.109375,
2023-02-07,23264.291015624996,
2023-02-08,22939.3984375,
2023-02-09,21819.0390625,
2023-02-10,21651.18359375,
2023-02-11,21870.874999999996,
2023-02-12,21788.203124999996,
2023-02-13,21808.101562499996,
2023-02-14,22220.8046875,
2023-02-15,24307.841796875,
2023-02-16,23623.474609375,
2023-02-17,24565.6015625,
2023-02-18,24641.277343749996,
2023-02-19,24327.642578125,
2023-02-20,24829.148437499996,
2023-02-21,24436.353515624996,
2023-02-22,24188.84375,
2023-02-23,23947.4921875,
2023-02-24,23198.126953125,
2023-02-25,23175.375,
2023-02-26,23561.212890625,
2023-02-27,23522.87109375,
2023-02-28,23147.353515625,
2023-03-01,23646.550781249996,
2023-03-02,23475.466796875,
2023-03-03,22362.6796875,
2023-03-04,22353.349609374996,
2023-03-05,22435.513671875,
2023-03-06,22429.757812499996,
2023-03-07,22219.769531249996,
2023-03-08,21718.080078124996,
2023-03-09,20363.021484375,
2023-03-10,20187.244140625,
2023-03-11,20632.41015625,
2023-03-12,22163.94921875,
